wavelength(nm) ph/sec/arcsec^2/um/m^2
507.759596 144.904
507.784984 144.356
507.810374 145.116
507.835765 145.167
507.861158 145.168
507.886551 144.796
507.911946 145.193
507.937342 145.207
507.96274 145.217
507.988139 145.025
508.013539 145.99
508.03894 178.184
508.064343 144.644
508.089747 144.981
508.115152 145.166
508.140558 145.286
508.165966 145.217
508.191375 145.277
508.216785 145.328
508.242196 145.341
508.267609 145.327
508.293023 145.335
508.318438 145.374
508.343855 145.332
508.369273 145.392
508.394692 145.404
508.420112 145.413
508.445534 145.358
508.470957 145.434
508.496381 145.442
508.521806 145.066
508.547233 145.362
508.572661 145.416
508.59809 145.308
508.623521 145.508
508.648953 145.516
508.674386 145.519
508.69982 145.519
508.725256 145.513
508.750693 145.313
508.776131 145.229
508.80157 145.065
508.827011 145.48
508.852453 145.462
508.877896 145.486
508.903341 145.518
508.928787 145.497
508.954234 145.518
508.979682 145.521
509.005132 145.524
509.030583 145.521
509.056035 145.52
509.081488 145.532
509.106943 145.537
509.132399 145.519
509.157856 145.516
509.183315 145.518
509.208774 145.535
509.234236 179.35
509.259698 145.533
509.285162 145.538
509.310626 145.462
509.336093 145.524
509.36156 145.389
509.387029 145.211
509.412499 145.472
509.43797 145.538
509.463443 145.538
509.488916 145.52
509.514391 145.457
509.539868 145.296
509.565345 145.433
509.590824 145.371
509.616304 145.537
509.641786 145.539
509.667269 145.559
509.692753 145.58
509.718238 145.461
509.743724 145.507
509.769212 145.608
509.794701 145.664
509.820192 145.658
509.845683 145.711
509.871176 145.721
509.896671 145.759
509.922166 145.783
509.947663 145.808
509.973161 145.813
509.99866 145.793
510.024161 145.89
510.049662 145.928
510.075166 145.967
510.10067 146.005
510.126176 145.941
510.151683 146.073
510.177191 146.12
510.2027 146.155
510.228211 146.157
510.253723 146.223
510.279236 146.237
510.304751 146.259
510.330267 146.255
510.355784 146.354
510.381303 146.201
510.406822 146.424
510.432343 146.503
510.457865 146.536
510.483389 146.568
510.508914 146.608
510.53444 146.624
510.559967 146.67
510.585496 146.733
510.611026 146.767
510.636557 146.788
510.662089 146.858
510.687623 146.908
510.713158 146.958
510.738695 147.008
510.764232 147.058
510.789771 147.109
510.815311 147.137
510.840852 147.205
510.866395 147.259
510.891939 147.243
510.917484 147.359
510.943031 147.41
510.968579 147.46
510.994128 147.51
511.019678 147.56
511.04523 147.61
511.070783 147.661
511.096337 147.711
511.121892 147.72
511.147449 147.736
511.173007 147.84
511.198566 147.91
511.224127 147.941
511.249689 147.863
511.275252 148.028
511.300816 148.112
511.326382 148.14
511.351949 148.21
511.377517 148.258
511.403087 148.303
511.428657 148.352
511.454229 148.399
511.479803 148.446
511.505377 148.493
511.530953 148.543
511.556531 148.594
511.582109 148.644
511.607689 148.662
511.63327 148.745
511.658852 148.713
511.684436 148.651
511.710021 148.59
511.735607 148.528
511.761194 148.466
511.786783 148.391
511.812373 148.32
511.837964 148.268
511.863557 148.22
511.88915 148.158
511.914745 148.096
511.940342 148.035
511.96594 147.973
511.991538 147.911
512.017139 147.825
512.04274 147.782
512.068343 147.719
512.093947 147.654
512.119552 147.581
512.145159 147.524
512.170767 147.424
512.196376 147.395
512.221986 147.333
512.247598 147.271
512.273211 147.209
512.298826 147.147
512.324441 147.085
512.350058 147.023
512.375676 146.951
512.401296 146.885
512.426916 146.811
512.452538 146.764
512.478162 146.698
512.503786 146.633
512.529412 146.568
512.555039 146.506
512.580667 146.444
512.606297 146.382
512.631928 146.32
512.65756 146.311
512.683194 146.326
512.708829 146.341
512.734465 146.357
512.760102 146.367
512.785741 146.387
512.811381 146.403
512.837022 146.41
512.862664 146.433
512.888308 146.447
512.913953 146.459
512.939599 146.471
512.965247 146.483
512.990896 146.495
513.016546 146.507
513.042198 146.519
513.06785 146.534
513.093504 146.55
513.11916 146.565
513.144816 146.58
513.170474 146.596
513.196133 146.611
513.221794 146.627
513.247456 146.642
513.273119 146.657
513.298783 146.673
513.324448 146.688
513.350115 146.703
513.375783 146.718
513.401453 146.724
513.427124 146.744
513.452796 146.756
513.478469 146.768
513.504143 146.78
513.529819 146.792
513.555496 146.804
513.581175 146.82
513.606855 146.835
513.632536 146.851
513.658218 146.874
513.683901 146.902
513.709586 146.929
513.735272 146.955
513.76096 146.979
513.786648 147.003
513.812338 147.027
513.83803 147.051
513.863722 147.075
513.889416 147.099
513.915111 147.125
513.940808 147.153
513.966505 147.18
513.992204 147.207
514.017904 147.234
514.043606 147.262
514.069309 147.289
514.095013 147.313
514.120718 147.337
514.146425 147.361
514.172133 147.385
514.197842 147.409
514.223553 147.433
514.249265 147.458
514.274978 147.486
514.300692 147.513
514.326408 147.54
514.352125 147.568
514.377843 147.595
514.403562 147.622
514.429283 147.65
514.455005 147.677
514.480729 147.704
514.506453 147.732
514.532179 147.759
514.557907 147.786
514.583635 147.814
514.609365 147.838
514.635096 147.862
514.660829 147.893
514.686562 147.925
514.712297 147.957
514.738033 147.989
514.763771 148.022
514.78951 148.054
514.81525 148.086
514.840991 148.118
514.866734 148.15
514.892478 148.183
514.918223 148.215
514.94397 148.249
514.969718 148.285
514.995467 148.321
515.021217 148.357
515.046969 148.395
515.072722 148.432
515.098476 148.469
515.124232 148.503
515.149989 148.537
515.175747 148.571
515.201506 148.605
515.227267 148.639
515.253029 148.673
515.278792 148.708
515.304557 148.745
515.330323 148.782
515.35609 148.819
515.381858 148.857
515.407628 148.894
515.433399 148.931
515.459171 148.968
515.484945 149.006
515.51072 149.043
515.536496 149.08
515.562274 149.118
515.588052 149.155
515.613832 149.192
515.639614 149.226
515.665396 149.1
515.69118 148.971
515.716965 148.841
515.742752 148.712
515.76854 148.583
515.794329 148.455
515.820119 148.329
515.845911 148.203
515.871704 148.077
515.897498 147.952
515.923293 147.826
515.94909 147.7
515.974888 147.574
516.000688 147.448
516.026488 147.322
516.05229 147.196
516.078094 147.07
516.103898 146.943
516.129704 146.817
516.155511 146.688
516.18132 146.558
516.207129 146.429
516.23294 146.299
516.258753 146.17
516.284566 146.04
516.310381 145.912
516.336197 145.785
516.362015 145.659
516.387833 145.533
516.413654 145.406
516.439475 145.28
516.465297 145.154
516.491121 145.025
516.516947 144.895
516.542773 144.765
516.568601 144.636
516.59443 144.506
516.62026 144.376
516.646092 144.289
516.671925 144.346
516.697759 144.403
516.723595 144.46
516.749432 144.516
516.77527 144.573
516.801109 144.63
516.82695 144.687
516.852792 144.743
516.878635 144.8
516.90448 144.857
516.930325 144.914
516.956173 144.971
516.982021 145.027
517.007871 145.082
517.033722 145.136
517.059574 145.189
517.085428 145.243
517.111283 145.296
517.137139 145.35
517.162996 145.404
517.188855 145.46
517.214715 145.517
517.240577 145.574
517.266439 145.631
517.292303 145.688
517.318169 145.745
517.344035 145.802
517.369903 145.859
517.395772 145.916
517.421643 145.973
517.447514 146.03
517.473387 146.086
517.499262 146.143
