wavelength(nm) transmission
508.03894 0.815215
508.064343 0.812691
508.089747 0.814576
508.115152 0.815601
508.140558 0.816252
508.165966 0.81583
508.191375 0.816139
508.216785 0.8164
508.242196 0.816444
508.267609 0.816336
508.293023 0.816354
508.318438 0.816547
508.343855 0.816275
508.369273 0.816587
508.394692 0.816625
508.420112 0.816648
508.445534 0.816308
508.470957 0.816708
508.496381 0.816726
508.521806 0.814563
508.547233 0.81621
508.572661 0.816489
508.59809 0.815848
508.623521 0.816951
508.648953 0.816989
508.674386 0.817032
508.69982 0.817057
508.725256 0.817049
508.750693 0.815942
508.776131 0.815493
508.80157 0.814589
508.827011 0.816968
508.852453 0.816892
508.877896 0.817056
508.903341 0.817263
508.928787 0.817168
508.954234 0.817314
508.979682 0.817357
509.005132 0.817402
509.030583 0.817411
509.056035 0.817433
509.081488 0.817526
509.106943 0.817579
509.132399 0.817504
509.157856 0.817514
509.183315 0.817547
509.208774 0.817671
509.234236 0.81772
509.259698 0.817717
509.285162 0.817766
509.310626 0.817365
509.336093 0.817739
509.36156 0.817002
509.387029 0.816015
509.412499 0.817524
509.43797 0.817925
509.463443 0.817951
509.488916 0.817877
509.514391 0.817545
509.539868 0.816657
509.565345 0.817463
509.590824 0.817133
509.616304 0.818104
509.641786 0.81813
509.667269 0.818156
509.692753 0.818181
509.718238 0.817411
509.743724 0.81758
509.769212 0.818061
509.794701 0.818283
509.820192 0.818159
509.845683 0.818364
509.871176 0.818331
509.896671 0.818453
509.922166 0.818497
509.947663 0.818541
509.973161 0.818478
509.99866 0.818273
510.024161 0.818637
510.049662 0.818663
510.075166 0.818688
510.10067 0.818714
510.126176 0.81816
510.151683 0.818716
510.177191 0.81879
510.2027 0.818801
510.228211 0.818621
510.253723 0.818802
510.279236 0.818689
510.304751 0.818621
510.330267 0.818408
510.355784 0.81878
510.381303 0.817723
510.406822 0.818791
510.432343 0.819045
510.457865 0.819043
510.483389 0.819029
510.508914 0.819066
510.53444 0.818964
510.559967 0.819035
510.585496 0.819197
510.611026 0.819198
